Class,Goal,Analysis variable,heatPumpSystem.declination,vol.V,heaCap.C,rad.n,theCon.G
global,all,mu_star,0.0,0.022525642343656747,0.028602597553477715,0.14797276618789093,0.46153810785076105
global,all,mu,0.0,-0.018767913806143843,-0.0265561023622424,-0.021522471938822743,0.10530785767624773
global,all,sigma,0.0,0.02747390836331699,0.030861152605208737,0.1856747763706546,0.5436860141700762
global,all,mu_star_conf,0.0,0.0053077431211565615,0.005813271114528823,0.02268129045479092,0.059987777922132175
global,Electricity,mu_star,0.0,0.004375412875317221,0.007244229672193131,0.11913237492338556,0.19059766744876355
global,Electricity,mu,0.0,0.0030978947991899325,-0.0023988833684108835,0.004296410304411573,0.08481088640629703
global,Electricity,sigma,0.0,0.028820151031349515,0.024208637087167875,0.2015809201314141,0.22626477191618138
global,Electricity,mu_star_conf,0.0,0.004997242122161083,0.004649098213004041,0.0310395647671873,0.027494134289429952
global,Room temperature,mu_star,0.0,0.07060447967104885,0.08357909899488365,0.3516388158802559,1.576005722379027
global,Room temperature,mu,0.0,-0.06978813388525604,-0.08292294668118264,-0.0817665305063695,0.15313412397279944
global,Room temperature,sigma,0.0,0.0631217564459834,0.08638324458251034,0.39137828345965936,1.8633676485570183
global,Room temperature,mu_star_conf,0.0,0.010910184108350806,0.016658611127499428,0.035492118493850505,0.20151871586023257
On,all,mu_star,0.0,0.03810946025881845,0.05665082149799998,0.4983808352618271,1.069436078575448
On,all,mu,0.0,-0.01706637960587919,-0.041120877949852704,0.06753187405105186,-0.7261402976998097
On,all,sigma,0.0,0.09207566161918955,0.09148966222614398,0.7694871553013972,1.0353681427798644
On,all,mu_star_conf,0.0,0.019080700726853472,0.016780190638428095,0.11281095477835927,0.12811225803842147
On,Electricity,mu_star,0.0,0.018655084455900778,0.03717573523299986,0.6322843221693322,1.3607609499625914
On,Electricity,mu,0.0,0.011949183332543602,-0.014637921364388464,0.1590817691241839,-1.0417512457540468
On,Electricity,sigma,0.0,0.1274761096237838,0.11873817109360583,1.05979884216595,1.0807233115456716
On,Electricity,mu_star_conf,0.0,0.02538892669508074,0.021533945528040527,0.15835984016059587,0.13117732568184381
On,Room temperature,mu_star,0.0,0.08752172428254282,0.10517435690966856,0.3801194164995445,1.7131349750390694
On,Room temperature,mu,0.0,-0.08476935979553231,-0.10291444331593595,-0.1460845477862561,0.010285247760075746
On,Room temperature,sigma,0.0,0.07604203307091216,0.1090346974575414,0.4198778835240512,2.0759273321329728
On,Room temperature,mu_star_conf,0.0,0.013428948135488143,0.019109780553662557,0.0475729436301634,0.21139410154937083
Off,all,mu_star,0.0,0.023503707672766935,0.02814322845691414,0.1461657436620339,0.5151848617304223
Off,all,mu,0.0,-0.02044360383531918,-0.026081382429958517,-0.03426091539569144,0.3373063792166661
Off,all,sigma,0.0,0.027020849033224104,0.03207572974892224,0.1733537350075874,0.5013320858103784
Off,all,mu_star_conf,0.0,0.0050215162410203445,0.006224976034865717,0.021348087651422383,0.06700337391447003
Off,Electricity,mu_star,0.0,0.00421369243421552,0.005604729890351776,0.0936143724548465,0.39314130461527663
Off,Electricity,mu,0.0,0.002669850989235836,-0.0004452263573276853,-0.02264257032988952,0.3746856329362358
Off,Electricity,sigma,0.0,0.023090685412870716,0.02378181240720325,0.15804626816122963,0.3014983931663316
Off,Electricity,mu_star_conf,0.0,0.004592739953397077,0.004340639591224935,0.02880801840348102,0.05540749191558049
Off,Room temperature,mu_star,0.0,0.0750857103157915,0.08654912868039583,0.4047689181177338,1.7678251313905187
Off,Room temperature,mu,0.0,-0.07437499842594748,-0.08589907993276377,-0.061370387215895966,0.2500881205376701
Off,Room temperature,sigma,0.0,0.0730877866849492,0.09521806608394966,0.4461956890842288,2.065670584641397
Off,Room temperature,mu_star_conf,0.0,0.015485790479409454,0.019117626755726543,0.0346645749678262,0.21251085487006927
